n,r,p
"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})",[:FINNISHED_IN],"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})"
"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})",[:MEASSURED_TO],"(:ProjectTask {time_of_completion: 2025-08-20T11:00:00,name: Conduct user research and interviews,completed: true,id: 7})"
"(:ProjectTask {name: Create new design mockups,id: 8,completed: false})",[:IN_PROGRESS],"(:ProjectTask {name: Create new design mockups,id: 8,completed: false})"
"(:ProjectTask {name: Create new design mockups,id: 8,completed: false})",[:CONSISTS_OF],"(:ProjectTask {name: Create new design mockups,id: 8,completed: false})"
"(:ProjectTask {name: Develop responsive frontend components,completed: false,id: 9})",[:IN_PROGRESS],"(:ProjectTask {name: Develop responsive frontend components,completed: false,id: 9})"
"(:ProjectTask {name: Develop responsive frontend components,completed: false,id: 9})",[:CONSISTS_OF],"(:ProjectTask {name: Develop responsive frontend components,completed: false,id: 9})"
"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})"
"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})"
"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})",[:CONSISTS_OF],"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})"
"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})",[:FINNISHED_IN],"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})"
"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})",[:MEASSURED_TO],"(:ProjectTask {time_of_completion: 2025-07-12T09:15:00,name: Audit existing database schemas,completed: true,id: 10})"
"(:ProjectTask {name: Setup cloud infrastructure,completed: false,id: 11})",[:IN_PROGRESS],"(:ProjectTask {name: Setup cloud infrastructure,completed: false,id: 11})"
"(:ProjectTask {name: Setup cloud infrastructure,completed: false,id: 11})",[:CONSISTS_OF],"(:ProjectTask {name: Setup cloud infrastructure,completed: false,id: 11})"
"(:ProjectTask {name: Migrate production data to cloud,completed: false,id: 12})",[:IN_PROGRESS],"(:ProjectTask {name: Migrate production data to cloud,completed: false,id: 12})"
"(:ProjectTask {name: Migrate production data to cloud,completed: false,id: 12})",[:CONSISTS_OF],"(:ProjectTask {name: Migrate production data to cloud,completed: false,id: 12})"
"(:ProjectTask {time_of_completion: 2025-09-30T15:30:00,name: Develop campaign strategy,completed: true,id: 13})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2025-09-30T15:30:00,name: Develop campaign strategy,completed: true,id: 13})"
"(:ProjectTask {time_of_completion: 2025-09-30T15:30:00,name: Develop campaign strategy,completed: true,id: 13})",[:CONSISTS_OF],"(:ProjectTask {time_of_completion: 2025-09-30T15:30:00,name: Develop campaign strategy,completed: true,id: 13})"
"(:ProjectTask {time_of_completion: 2025-09-30T15:30:00,name: Develop campaign strategy,completed: true,id: 13})",[:FINNISHED_IN],"(:ProjectTask {time_of_completion: 2025-09-30T15:30:00,name: Develop campaign strategy,completed: true,id: 13})"
"(:ProjectTask {time_of_completion: 2025-09-30T15:30:00,name: Develop campaign strategy,completed: true,id: 13})",[:MEASSURED_TO],"(:ProjectTask {time_of_completion: 2025-09-30T15:30:00,name: Develop campaign strategy,completed: true,id: 13})"
"(:ProjectTask {name: Create promotional materials,completed: false,id: 14})",[:IN_PROGRESS],"(:ProjectTask {name: Create promotional materials,completed: false,id: 14})"
"(:ProjectTask {name: Create promotional materials,completed: false,id: 14})",[:CONSISTS_OF],"(:ProjectTask {name: Create promotional materials,completed: false,id: 14})"
"(:ProjectTask {name: Launch social media advertising,completed: false,id: 15})",[:IN_PROGRESS],"(:ProjectTask {name: Launch social media advertising,completed: false,id: 15})"
"(:ProjectTask {name: Launch social media advertising,completed: false,id: 15})",[:CONSISTS_OF],"(:ProjectTask {name: Launch social media advertising,completed: false,id: 15})"
"(:ProjectTask {time_of_completion: 2023-01-15T10:00:00,name: Plan event logistics,completed: true,id: 16})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2023-01-15T10:00:00,name: Plan event logistics,completed: true,id: 16})"
"(:ProjectTask {time_of_completion: 2023-01-15T10:00:00,name: Plan event logistics,completed: true,id: 16})",[:CONSISTS_OF],"(:ProjectTask {time_of_completion: 2023-01-15T10:00:00,name: Plan event logistics,completed: true,id: 16})"
"(:ProjectTask {time_of_completion: 2023-01-15T10:00:00,name: Plan event logistics,completed: true,id: 16})",[:FINNISHED_IN],"(:ProjectTask {time_of_completion: 2023-01-15T10:00:00,name: Plan event logistics,completed: true,id: 16})"
"(:ProjectTask {time_of_completion: 2023-01-15T10:00:00,name: Plan event logistics,completed: true,id: 16})",[:MEASSURED_TO],"(:ProjectTask {time_of_completion: 2023-01-15T10:00:00,name: Plan event logistics,completed: true,id: 16})"
"(:ProjectTask {time_of_completion: 2023-01-20T14:30:00,name: Book venue and catering,completed: true,id: 17})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2023-01-20T14:30:00,name: Book venue and catering,completed: true,id: 17})"
"(:ProjectTask {time_of_completion: 2023-01-20T14:30:00,name: Book venue and catering,completed: true,id: 17})",[:CONSISTS_OF],"(:ProjectTask {time_of_completion: 2023-01-20T14:30:00,name: Book venue and catering,completed: true,id: 17})"
"(:ProjectTask {time_of_completion: 2023-01-20T14:30:00,name: Book venue and catering,completed: true,id: 17})",[:FINNISHED_IN],"(:ProjectTask {time_of_completion: 2023-01-20T14:30:00,name: Book venue and catering,completed: true,id: 17})"
"(:ProjectTask {time_of_completion: 2023-01-20T14:30:00,name: Book venue and catering,completed: true,id: 17})",[:MEASSURED_TO],"(:ProjectTask {time_of_completion: 2023-01-20T14:30:00,name: Book venue and catering,completed: true,id: 17})"
"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})"
"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})",[:HAS_COMPLETED],"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})"
"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})",[:CONSISTS_OF],"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})"
"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})",[:FINNISHED_IN],"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})"
"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})",[:MEASSURED_TO],"(:ProjectTask {time_of_completion: 2023-02-22T18:00:00,name: Execute event successfully,completed: true,id: 18})"
"(:ProjectTask {name: Install solar panels,id: 19,completed: false})",[:IN_PROGRESS],"(:ProjectTask {name: Install solar panels,id: 19,completed: false})"
"(:ProjectTask {name: Install solar panels,id: 19,completed: false})",[:CONSISTS_OF],"(:ProjectTask {name: Install solar panels,id: 19,completed: false})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:HAS_WORKED_ON],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:IS_MANAGER],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 5,name: Mobile App,description: Developing a new mobile platform,id: 1,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:IS_MANAGER],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 7,name: Employee Wellbeing Program,description: Initiative to reduce stress,completed: false,id: 2,deadline: 2026-08-15T00:00:00})"
"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})"
"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})"
"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})",[:IS_MANAGER],"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})"
"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})",[:NEEDS],"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})"
"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})",[:NEEDS],"(:Project {employees_needed: 2,name: Smart Building,description: Construction project with eco focus,id: 3,completed: false,deadline: 2026-03-30T00:00:00})"
